Player Name,Last Updated,Name,Birthday,Country,Team,Mouse Model,Mouse DPI,Mouse Sensitivity
n1ssim,24 Nov 2023,Vinicius Pereira,"April 27, 2001",Brazil,paiN Gaming,Logitech G Pro X Superlight Black,400,1.77
jcobbb,27 Jan 2024,Jakub Pietruszewski,N/A,Poland,Free Agent,Fantech Helios II Pro XD3V3,1600,0.47
glowiing,25 Feb 2024,Aleksandr Matsiyevich,"December 6, 1993",Russia,9 Pandas,Razer Viper V3 Pro White (Unreleased),400,1.5
d1Ledez,20 Nov 2023,Daniil Kustov,"July 3, 2003",Russia,9 Pandas,Logitech G Pro X Superlight Magenta,400,1.7
matios,24 Nov 2023,João Guedes,"February 22, 2002",Brazil,ODDIK,Razer Deathadder V3 Pro Black,400,1.58
ponter,24 Nov 2023,Gabriel Amaral,"January 30, 2001",Brazil,ODDIK,Razer Deathadder V3 Pro Black,400,1.35
naitte,24 Nov 2023,João Maia,"November 5, 1997",Brazil,ODDIK,Razer Deathadder V3 Pro Black,800,1.7
nosraC,27 Dec 2023,Carson O'Reilly,"February 24, 2000",United States,Nouns Esports,Logitech G Pro X Superlight 2 White,400,1.6
cJ,27 Dec 2023,Christopher Jones,"September 5, 1997",United States,Nouns Esports,ZOWIE EC2-CW,400,1.7
Laski,28 Nov 2023,Leonardo Arroyo,"December 11, 1996",United States,Content Creator,ZOWIE EC2-CW,800,0.795
Anlelele,29 Nov 2023,Anton Huynh,"October 11, 2000",Denmark,Sprout,Logitech G Pro X Superlight Black,800,1.35
sL1m3,03 Dec 2023,Emil Stolz,N/A,Denmark,Sprout,Logitech G Pro X Superlight Magenta,400,1.5
spooke,03 Dec 2023,Olle Grundström,"August 16, 2001",Sweden,Sprout,ZOWIE EC2-CW,800,0.9
cej0t,03 Dec 2023,Jan Dyl,N/A,Poland,Sprout,Video,Unknown,Unknown
Airax,09 Dec 2023,Jussi Airaksinen,"June 20, 1995",Finland,HAVU,Logitech G Pro X Superlight Black,800,1.175
uli,09 Dec 2023,Samu Leirilaakso,"November 28, 1997",Finland,HAVU,ZOWIE EC2-CW,400,1.4
tN1R,28 Dec 2023,Andrey Tatarinovich,"February 14, 2001",Belarus,forZe,Logitech G Pro X Superlight 2 Magenta,400,1.51
ICY,01 Mar 2024,Kaisar Faiznurov,"June 1, 2005",Kazakhstan,AMKAL,Logitech G Pro X Superlight Black,400,2.75
nilo,02 Jan 2024,Linus Bergman,"January 4, 2005",Sweden,Metizport,Logitech G Pro X Superlight White,800,0.9
susp,03 Mar 2024,Tim Ångström,"January 7, 2005",Sweden,Metizport,ZOWIE EC2-CW,800,0.55
adamb,03 Mar 2024,Adam Ångström,"January 7, 2005",Sweden,Metizport,Video,800,1.2
synyx,30 Dec 2023,Danyyl Mazur,"August 12, 2004",Ukraine,The Witchers,Logitech G Pro X Superlight 2 Black,800,1.1
n1Xen,01 Jan 2024,Mikkel Borlund,"October 5, 2003",Denmark,Sashi,Logitech G Pro X Superlight Black,1000,1.14
v1NCHENSO7,12 Jan 2024,Daniel Adán,"August 13, 1991",Spain,Content Creator,VAXEE XE Wireless White,800,1.1
HeavyGod,05 Jan 2024,Nikita Martynenko,"July 24, 2002",Israel,OG Esports,Logitech G Pro X Superlight Magenta,400,3.1
VLDN,08 Mar 2024,Vladan Radević,"November 9, 2000",Serbia,Bleed eSports,Logitech G Pro X Superlight Black,800,1
Bambosh,26 Jan 2024,Kacper Szlachta,N/A,Poland,9INE,Video,Unknown,Unknown
xicoz,14 Feb 2024,Zoran Markovski,"April 29, 2003",North Macedonia,BIG Academy,Razer Deathadder V3 Pro Black,1600,0.70
Tauson,31 Jan 2024,Sebastian Tauson Lindelof,"August 17, 2005",Denmark,Team Secret,Logitech G Pro X Superlight 2 Black,400,1.66
Kind0,31 Jan 2024,Vladan Mandić,"January 14, 2002",Serbia,Team Secret,ZOWIE EC2-CW,400,1.85
Rip,11 Jan 2024,Berk Tepe,"February 9, 1998",Turkey,Fire Flux Esports,Logitech G Pro X Superlight Black,800,0.6
Sdaim,31 Jan 2024,Daniil Tupov,"April 29, 2005",Ukraine,Sprout,Razer DeathAdder V2,800,0.8
Flayy,03 Feb 2024,Alan Krupa,"June 14, 2005",Poland,Rebels Gaming,Logitech G Pro X Superlight Black,400,1.6
KWERTZZ,18 Mar 2024,Simon Horák,"October 31, 2001",Czechia,TSM,Pulsar Xlite V3 Es,400,1.9
Magnojez,29 Feb 2024,Kirill Rodnov,"October 14, 2004",Russia,Team Spirit Academy,Logitech G Pro X Superlight 2 Black,400,2.2
Markeloff,01 Mar 2024,Jeghor Markelov,"February 12, 1988",Ukraine,ESC Gaming,Logitech G Pro X Superlight 2 Black,400,1.8
kisserek,01 Mar 2024,Kamil Banak,N/A,Poland,Rebels Gaming,Logitech G Pro X Superlight Black,400,1.42
pHoonyJ,01 Mar 2024,Huajie Ping,N/A,China,Free Agent,Video,400,2.1
Noktse,02 Mar 2024,Nicolás Dávila,"January 19, 1993",Argentina,BESTIA,VAXEE OUTSET AX Wireless Orange,800,1.19
hyper,14 Mar 2024,Bartosz Wolny,"January 1, 1990",Poland,Content Creator,Razer Deathadder V3 Pro Black,1000,2.3
reiko,19 Mar 2024,Kamil Cegiełko,"September 4, 1999",Poland,Sprout,Video,Unknown,Unknown
podi,19 Mar 2024,Paavo Heiskanen,"August 5, 2004",Finland,Sprout,Logitech G Pro X Superlight Black,800,1.05
ryu,19 Mar 2024,Gytis Glušauskas,"July 25, 2004",Lithuania,Monte,Logitech G Pro X Superlight 2 Black,400,2
Gizmy,19 Mar 2024,Jack von Spreckelsen,"February 20, 2004",United Kingdom,Monte,Video,800,1.25
